19125001,Nguyen Van 1,19APCS1,Male,20010105,19125001,20010105,1,1,CS162
19125002,Nguyen Van 2,19APCS1,Female,20010106,19125002,20010106,1,1,CS162
19126003,Nguyen Van 3,19APCS2,Male,20010107,19126003,20010107,0,1,MTH252
19126004,Nguyen Van 4,19APCS2,Male,20010108,19126004,20010108,1,1,MTH252
19127005,Nguyen Van 5,19CLC1,Female,20010109,19127005,20010109,1,0,
19127006,Nguyen Van 6,19CLC2,Male,20010110,19127006,20010110,1,0,
19125007,Nguyen Van 7,19CLC3,Male,20010111,19125007,20010111,1,0,
19125008,Nguyen Van 8,19CLC4,Female,20010112,19125008,20010112,1,0,
19125009,Nguyen Van 9,19CLC5,Male,20010113,19125009,20010113,1,0,
19125010,Nguyen Van 10,19CLC6,Male,20010114,19125010,20010114,1,0,
